reputation,up_votes,down_votes,num_badges,contributing_score,EFF_CLASS_NUM
679,10,1,39,1.08,1
992,93,1,18,1.18,1
313,50,0,9,1.53,-1
96,15,0,3,1.13,-1
713,474,124,36,0.81,1
123,1,0,18,1.1,1
2921,2530,249,68,1.37,-1
774,3,0,10,18.13,-1
333,19,0,19,1.26,-1
45,0,0,5,0.08,1
470,438,10,21,1.05,1
124,6,0,17,0.23,1
391,81,0,11,3.75,1
61,0,0,3,1.5,-1
20,2,0,12,0.02,1
174,16,0,5,1.63,-1
1266,86,11,29,2.33,-1
201,0,0,13,3.64,-1
27,1,0,9,-0.04,1
228,27,1,21,0.24,1
335,48,6,25,0.93,1
64,0,0,2,1.6,-1
3111,700,111,65,0.52,1
132,30,0,10,0.23,1
339,3,0,24,2.74,1
647,5,0,15,7.27,1
803,48,0,48,0.46,1
103,10,0,11,0.11,1
97,35,0,17,0.93,-1
113,16,0,12,1.57,1
92,16,0,10,0.46,1
384,5,2,15,0.27,1
636,44,0,17,2.35,-1
29,0,0,1,0.4,-1
45,12,0,5,0.33,-1
46,1,0,3,0.33,-1
334,425,242,33,0.14,1
1514,13,7,26,0.61,1
547,1,0,13,6.07,1
184,1,0,15,0.77,1
2,0,0,2,-0.3,-1
20,1,0,4,0.13,1
505,34,13,29,2.61,1
86,29,0,7,0.39,1
884,48,2,10,0.5,-1
412,25,0,7,0.94,-1
71,1,0,7,0.94,-1
171,51,0,14,1.0,-1
152,57,0,12,0.38,1
107399,819,486,356,2.21,1
191,0,0,8,1.08,-1
373,63,1,10,0.69,1
2413,28,2,33,3.58,-1
53,3,0,15,0.35,1
83,274,0,15,0.2,0
652,14,3,11,0.96,-1
1597,165,0,34,2.9,-1
106,0,0,9,0.48,-1
3990,87,14,25,1.41,-1
72,82,0,11,0.26,1
151,19,0,12,0.27,1
2719,159,40,41,0.7,-1
364,88,0,14,0.97,1
681,86,0,9,0.0,-1
96,3,0,15,0.5,1
181,29,0,14,1.68,-1
319,61,0,15,0.85,1
2106,44,4,54,9.36,1
318,25,0,12,1.45,1
352,45,5,14,0.13,1
1821,1,2,27,2.92,-1
872,41,1,59,1.78,-1
10145,671,28,106,3.58,1
81,21,0,8,1.13,-1
2002,36,0,34,12.13,-1
36,1,0,7,0.5,1
9,0,0,2,0.0,-1
39,34,0,6,0.2,1
1034,74,5,28,3.69,1
62756,2679,282,301,5.17,-1
192,59,0,10,0.53,1
88,20,0,11,0.54,1
12,0,0,7,-0.02,1
286,75,1,18,1.77,1
112,12,0,10,0.46,1
1751,508,21,49,0.82,-1
51,0,0,4,1.0,-1
56698,428,59,174,2.78,1
9,0,0,3,0.05,1
259,8,3,9,1.06,-1
34,1,0,4,0.6,-1
209,16,0,13,0.31,0
5181,784,40,174,2.41,1
520,94,0,16,0.25,1
20,13,0,9,-0.05,1
255,1,1,6,0.42,-1
7,0,0,1,0.0,-1
1294,614,557,38,0.55,1
477,40,0,24,2.45,1
416,144,1,24,1.43,-1
227,62,0,10,1.3,1
1889,43,0,37,2.62,-1
96,2,0,4,0.67,-1
1244,24,1,34,9.38,1
1305,13,0,16,3.75,1
12178,2422,328,142,4.06,-1
1988,114,125,19,0.48,-1
497,60,13,29,1.39,1
32,3,0,5,0.24,1
808,23,0,10,6.2,-1
111,3,0,6,1.67,-1
1473,623,565,55,1.41,0
150,1,0,11,0.49,1
946,61,5,27,1.3,1
654,1,2,12,9.21,-1
86,20,0,9,0.52,-1
4048,9,1,21,12.98,-1
699,8,0,35,0.72,1
104,10,0,11,1.55,1
11087,330,33,72,1.11,1
1664,376,55,53,1.41,1
173,17,0,8,0.95,-1
38,26,0,7,0.5,1
993,96,2,80,0.74,1
596,112,3,16,0.26,1
403,6,0,11,6.86,1
36,4,0,8,0.75,-1
95,33,0,11,0.55,1
1357,23,0,34,7.06,-1
122,31,0,9,0.73,1
80,4,0,9,0.35,1
28,0,0,5,0.63,1
106,8,0,7,0.0,1
16271,197,21,130,2.76,-1
562,33,0,45,0.5,-1
198,88,0,12,1.1,1
1617,3,0,20,18.88,-1
935,166,28,49,0.63,1
697,82,0,13,19.8,1
123,15,0,11,0.41,1
749,215,2,27,0.69,-1
181,23,0,16,0.39,1
7721,473,14,91,5.02,1
824,53,0,22,0.71,1
320,5,0,11,1.07,1
179,188,3,23,0.33,1
157,22,0,14,0.76,1
1044,226,11,30,0.62,1
548,38,13,29,0.59,1
1908,136,2,34,2.0,1
158,7,0,6,0.36,1
2052,277,25,43,1.08,1
2987,1267,14,50,1.24,0
550,35,0,26,0.72,0
1848,385,28,87,0.45,1
983,13,0,37,0.59,-1
107,40,0,13,0.78,1
413,287,0,16,3.75,1
2161,0,0,13,29.29,-1
160,1111,1,28,0.22,-1
4489,168,2,31,10.82,-1
98,15,0,7,1.69,-1
1471,25,0,78,1.68,-1
